facetID,X,Y,Z,x1,y1,z1,x2,y2,z2,x3,y3,z3
16753,0.339433,-0.359963,-0.869029,26.4873,5.58293,16.7108,24.8019,5.92159,15.9122,26.4873,6.5778,16.2987
16754,0.339433,-0.359964,-0.869029,28.1728,6.73658,16.8912,29.8582,6.89535,17.4838,28.1728,6.23914,17.0973
16755,0.339433,-0.359964,-0.869029,29.8582,5.90048,17.8959,28.1728,6.23914,17.0973,29.8582,6.89535,17.4838
16756,0.339433,-0.359964,-0.869029,28.1728,5.7417,17.3033,29.8582,5.90048,17.8959,28.1728,5.24427,17.5094
16757,0.339433,-0.359964,-0.869029,29.8582,4.90561,18.308,28.1728,5.24427,17.5094,29.8582,5.90048,17.8959
16758,0.339433,-0.359964,-0.869029,29.8582,9.4769,16.4145,31.5437,9.13824,17.2131,29.8582,8.18613,16.9491
16759,0.339433,-0.359964,-0.869029,31.5437,8.49285,17.4804,29.8582,8.18613,16.9491,31.5437,9.13824,17.2131
16760,0.339432,-0.359964,-0.869029,33.2291,8.79958,18.0117,34.9146,8.46092,18.8103,33.2291,7.5088,18.5463
16761,0.339432,-0.359963,-0.86903,34.9146,7.81553,19.0776,33.2291,7.5088,18.5463,34.9146,8.46092,18.8103
16762,0.339432,-0.359963,-0.869029,29.8582,8.18613,16.9491,31.5437,7.84746,17.7477,29.8582,6.89535,17.4838
16763,0.339432,-0.359964,-0.869029,31.5437,7.20208,18.0151,29.8582,6.89535,17.4838,31.5437,7.84746,17.7477
16764,0.339433,-0.122776,-0.932583,24.8019,2.13526,16.8323,26.4873,2.13526,17.4458,24.8019,1.60144,16.9026
16765,0.339433,-0.122776,-0.932583,26.4873,1.06763,17.5863,24.8019,1.60144,16.9026,26.4873,2.13526,17.4458
16766,0.339433,-0.122775,-0.932583,28.1728,2.13526,18.0592,29.8582,2.13526,18.6727,28.1728,1.60144,18.1295
16767,0.339433,-0.122775,-0.932583,29.8582,1.06763,18.8133,28.1728,1.60144,18.1295,29.8582,2.13526,18.6727
16768,0.339433,-0.122775,-0.932583,28.1728,1.06763,18.1998,29.8582,1.06763,18.8133,28.1728,0.533814,18.2701
16769,0.339433,-0.122776,-0.932583,29.8582,-6.95107e-16,18.9538,28.1728,0.533814,18.2701,29.8582,1.06763,18.8133
16770,0.339433,-0.122776,-0.932583,29.8582,4.90561,18.308,31.5437,4.37179,18.9917,29.8582,3.52043,18.4903
16771,0.339433,-0.122776,-0.932583,31.5437,3.6792,19.0829,29.8582,3.52043,18.4903,31.5437,4.37179,18.9917
